       eno2                wlo1       
 KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.11      0.24
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.20      0.24
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      3.79      4.04
    0.00      0.00      0.00      0.00
