       ens4       
 KB/s in  KB/s out
    1.00      0.76
    1.25      0.95
    1.75      1.32
    1.25      0.95
    1.00      0.76
   10.49     13.18
   12.20     13.37
   11.24    116.97
   11.97    821.93
    1.50      1.14
    1.25      0.95
    1.00      0.76
    1.50      1.14
    1.75      1.54
   12.29     16.97
   10.08     10.83
   11.19    119.86
   12.82    826.98
    1.12      0.85
    1.37      1.04
    1.00      0.76
    1.25      0.95
       ens4       
 KB/s in  KB/s out
    4.14      4.60
   10.13     15.11
    9.86     10.62
   11.27    124.76
   12.68    829.26
    1.25      0.95
    1.25      0.95
    1.50      1.14
    1.25      0.95
    3.89      4.54
   10.38     16.39
   10.31     10.85
   12.00    129.81
   12.13    831.25
    1.37      1.04
    1.37      1.04
    1.00      0.76
    1.25      0.95
    6.11      6.16
   10.13     17.99
   13.61    137.18
   10.03     11.79
       ens4       
 KB/s in  KB/s out
    8.88    829.71
    1.00      0.76
    1.37      1.04
    1.12      0.85
    1.50      1.14
    8.43      9.24
   10.03     19.16
   11.50    139.20
   10.26     11.91
    9.02    832.10
    1.25      0.95
    1.50      1.20
    1.25      0.95
    1.25      0.95
    8.51      9.38
   11.98     21.43
   13.40    146.91
   13.38    840.14
    1.50      1.14
    1.50      1.14
    1.25      0.95
    1.25      0.95
       ens4       
 KB/s in  KB/s out
    1.12      0.85
   12.88     23.78
    9.99     11.48
   12.03    150.35
   13.36    841.93
    1.77      1.90
    1.70      1.24
    2.52      1.75
    2.07      1.45
    3.45      3.65
   12.42     24.16
   10.57     11.15
